sub_event_id;subscription_id;event_date;event_type;event_details;plan_tier;seats;billing_frequency;auto_renew_status;mrr_amount;arr_amount
1444;S-e2799b;2024-05-13;Create;;Enterprise;13;monthly;Inactive;2587;31044
1445;S-876f0b;2024-05-21;Update;Plan Downgrade;Basic;9;annual;Active;171;2052
1446;S-fc1114;2024-07-17;Cancel;;Pro;18;annual;Active;882;10584
1447;S-e32b34;2024-07-23;Update;Plan Downgrade;Basic;12;monthly;Active;228;2736
1448;S-029065;2024-07-28;;;Basic;11;annual;Active;0;0
1449;S-54283b;2024-08-27;Conversion;;Enterprise;49;monthly;Active;9751;117012
1450;S-72fa62;2024-09-03;Update;Seat Downgrade;Enterprise;27;annual;Active;5373;64476
1451;S-d2e00a;2024-09-17;Update;Seat Downgrade;Enterprise;9;monthly;Active;1791;21492
1452;S-ce5636;2024-11-14;;;Basic;30;annual;Active;0;0
1453;S-62641a;2024-11-29;Conversion;;Enterprise;18;monthly;Inactive;3582;42984
1454;S-a900c2;2024-12-22;Update;Seat Upgrade;Enterprise;24;annual;Inactive;4776;57312
1455;S-b4dd00;2024-12-24;Update;Plan Downgrade;Basic;52;annual;Active;988;11856
1456;S-1f3254;2024-12-29;Update;Seat Downgrade;Basic;18;annual;Active;342;4104
1457;S-f1826f;2024-03-30;Create;;Enterprise;24;monthly;Active;4776;57312
1458;S-37b6b2;2024-05-10;Update;Plan Downgrade;Pro;24;annual;Inactive;1176;14112
1459;S-b4d224;2024-05-31;Update;Plan Downgrade;Basic;27;annual;Active;513;6156
1460;S-911e27;2024-07-14;Update;Seat Upgrade;Basic;35;monthly;Inactive;665;7980
1461;S-d322a2;2024-08-01;Update;Seat Downgrade;Basic;24;monthly;Active;456;5472
1462;S-24631a;2024-09-07;Create;;Basic;20;monthly;Active;380;4560
1463;S-9161b0;2024-09-14;Update;Plan Upgrade;Enterprise;62;monthly;Active;12338;148056
1464;S-200752;2024-09-17;Update;Plan Downgrade;Pro;20;monthly;Inactive;980;11760
1465;S-1ad9cb;2024-10-10;Update;;Pro;20;monthly;Active;980;11760
1466;S-a14c42;2024-10-10;Update;Plan Downgrade;Basic;20;monthly;Active;380;4560
1467;S-c9b0cc;2024-10-11;Update;Plan Upgrade;Enterprise;38;monthly;Active;7562;90744
1468;S-43aa0e;2024-10-18;;;Basic;36;monthly;Active;0;0
1469;S-7de1b7;2024-10-27;Conversion;;Enterprise;20;annual;Active;3980;47760
1470;S-f6e116;2024-10-31;Update;Plan Downgrade;Pro;20;monthly;Active;980;11760
1471;S-7a2991;2024-11-14;Update;Seat Upgrade;Pro;39;annual;Active;1911;22932
1472;S-924925;2024-11-17;Update;Seat Downgrade;Pro;31;monthly;Inactive;1519;18228
1473;S-a2aa70;2024-12-17;;;Pro;47;monthly;Inactive;0;0
1474;S-8dd1cf;2024-12-17;Conversion;;Basic;20;monthly;Inactive;380;4560
1475;S-720c17;2024-02-16;Create;;Pro;20;annual;Active;0;0
1476;S-d0259a;2024-02-22;Conversion;;Enterprise;6;monthly;Active;1194;14328
1477;S-102053;2024-04-10;Update;;Enterprise;6;monthly;Active;1194;14328
1478;S-041534;2024-06-06;Update;Plan Upgrade;Pro;38;monthly;Active;1862;22344
1479;S-d2624d;2024-07-19;Update;Seat Downgrade;Pro;6;annual;Inactive;294;3528
1480;S-c6c2f6;2024-08-22;;;Enterprise;104;monthly;Active;0;0
1481;S-d43a40;2024-09-20;;;Basic;15;annual;Active;0;0
1482;S-1eba7d;2024-12-14;;;Enterprise;39;annual;Active;0;0
1483;S-cdd00a;2024-08-23;Create;;Basic;38;monthly;Active;722;8664
1484;S-d0af44;2024-08-23;Update;Seat Downgrade;Basic;20;annual;Inactive;380;4560
1485;S-d365af;2024-09-01;Update;Seat Downgrade;Basic;11;annual;Active;209;2508
1486;S-c8a3f6;2024-09-04;Update;Seat Downgrade;Basic;6;monthly;Inactive;114;1368
1487;S-8e9e9b;2024-09-06;Update;Seat Downgrade;Basic;3;annual;Inactive;57;684
1488;S-ed4c45;2024-09-15;Cancel;;Enterprise;78;monthly;Active;15522;186264
1489;S-307b2b;2024-09-21;Cancel;;Pro;8;annual;Active;392;4704
1490;S-3ea19d;2024-09-28;;;Basic;10;monthly;Active;0;0
1491;S-fc8463;2024-10-16;Conversion;;Basic;10;annual;Active;190;2280
1492;S-e052d8;2024-10-26;;;Pro;25;annual;Active;0;0
1493;S-02ab8b;2024-11-03;Conversion;;Enterprise;75;monthly;Active;14925;179100
1494;S-b39049;2024-11-08;;;Pro;18;monthly;Active;0;0
1495;S-07399c;2024-11-18;Conversion;;Basic;29;monthly;Active;551;6612
1496;S-99efdc;2024-12-19;Update;Plan Upgrade;Enterprise;17;annual;Active;3383;40596
1497;S-503afa;2024-03-18;Create;;Enterprise;40;monthly;Inactive;7960;95520
1498;S-1a04fe;2024-05-13;Update;Seat Downgrade;Enterprise;22;annual;Active;4378;52536
1499;S-5fffe8;2024-07-26;Update;Plan Downgrade;Basic;22;monthly;Active;418;5016
1500;S-4e4b10;2024-08-22;Update;;Basic;22;monthly;Inactive;418;5016
1501;S-4193dd;2024-10-13;Update;;Basic;22;monthly;Active;418;5016
1502;S-ab24c6;2024-10-15;Update;Plan Upgrade;Enterprise;22;annual;Active;4378;52536
1503;S-61bcfb;2024-11-05;Update;Plan Downgrade;Basic;22;monthly;Active;418;5016
1504;S-713e06;2024-11-06;Update;Plan Upgrade;Enterprise;26;annual;Active;5174;62088
1505;S-92421b;2024-11-12;;;Pro;22;monthly;Active;0;0
1506;S-0acba4;2024-11-22;Conversion;;Basic;22;annual;Inactive;418;5016
1507;S-f5888c;2024-12-10;Update;;Basic;22;annual;Active;418;5016
1508;S-327e7c;2024-02-07;Create;;Enterprise;17;annual;Active;0;0
1509;S-539566;2024-03-11;Conversion;;Basic;12;monthly;Active;228;2736
1510;S-82348a;2024-04-02;;;Basic;12;annual;Inactive;0;0
1511;S-79ef9b;2024-04-02;Conversion;;Enterprise;23;annual;Active;4577;54924
1512;S-183502;2024-04-11;Update;Seat Upgrade;Enterprise;71;monthly;Active;14129;169548
1513;S-0b054a;2024-06-01;Update;Plan Downgrade;Basic;40;annual;Active;760;9120
1514;S-2d7947;2024-06-04;Update;Seat Downgrade;Basic;12;annual;Active;228;2736
1515;S-206227;2024-07-10;Update;Plan Upgrade;Enterprise;12;monthly;Active;2388;28656
1516;S-2d63e2;2024-08-03;Update;Plan Downgrade;Pro;12;monthly;Active;588;7056
1517;S-21e372;2024-09-23;Update;Plan Downgrade;Basic;12;monthly;Active;228;2736
1518;S-51f213;2024-11-24;Update;Plan Upgrade;Pro;12;monthly;Active;588;7056
1519;S-a87ff6;2024-12-08;Update;Plan Downgrade;Basic;12;monthly;Active;228;2736
1520;S-03340d;2024-04-01;Create;;Enterprise;17;annual;Inactive;3383;40596
1521;S-a36a36;2024-05-01;Update;Plan Downgrade;Pro;17;annual;Inactive;833;9996
1522;S-a04ec4;2024-06-17;Update;;Pro;17;annual;Active;833;9996
1523;S-804a70;2024-07-28;Update;Plan Upgrade;Enterprise;17;monthly;Active;3383;40596
1524;S-6a7c79;2024-08-28;;;Pro;17;monthly;Active;0;0
1525;S-c1164e;2024-09-06;Conversion;;Pro;70;monthly;Inactive;3430;41160
1526;S-eb23dd;2024-09-27;Cancel;;Basic;38;monthly;Active;722;8664
1527;S-d88f58;2024-11-11;Update;Seat Downgrade;Basic;17;monthly;Active;323;3876
1528;S-7d651b;2024-11-15;Update;Plan Upgrade;Pro;28;monthly;Active;1372;16464
1529;S-21b68e;2024-04-25;Create;;Enterprise;25;monthly;Active;0;0
1530;S-d9ad28;2024-04-28;Conversion;;Pro;24;monthly;Inactive;1176;14112
1531;S-7db513;2024-06-01;Update;Plan Upgrade;Enterprise;24;monthly;Active;4776;57312
1532;S-7f92bd;2024-06-04;Cancel;;Basic;24;monthly;Active;456;5472
1533;S-00bb84;2024-07-07;Update;Plan Upgrade;Pro;24;annual;Active;1176;14112
1534;S-4260ed;2024-07-15;Update;Plan Downgrade;Basic;24;annual;Active;456;5472
1535;S-afa2a9;2024-07-26;Update;Plan Upgrade;Enterprise;24;annual;Active;4776;57312
1536;S-f2e134;2024-08-09;Cancel;;Basic;25;monthly;Active;475;5700
1537;S-541d7a;2024-09-05;;;Pro;24;annual;Inactive;0;0
1538;S-9ed535;2024-10-04;Conversion;;Enterprise;24;annual;Active;4776;57312
1539;S-1876fb;2024-10-12;Update;Seat Upgrade;Enterprise;59;monthly;Inactive;11741;140892
1540;S-1c7a41;2024-12-20;Update;Plan Downgrade;Basic;24;monthly;Active;456;5472
1541;S-9a6596;2023-10-21;Create;;Basic;49;monthly;Active;931;11172
1542;S-78ffdd;2023-11-07;Update;Plan Upgrade;Enterprise;12;monthly;Active;2388;28656
1543;S-e162d0;2023-12-18;;;Basic;19;monthly;Active;0;0
1544;S-3e5d57;2024-01-24;;;Basic;25;annual;Active;0;0
1545;S-cfa635;2024-03-07;Conversion;;Basic;50;monthly;Active;950;11400
1546;S-2d5c04;2024-03-27;Update;Plan Upgrade;Enterprise;5;monthly;Active;995;11940
1547;S-90a14e;2024-03-30;Update;Plan Downgrade;Pro;4;annual;Inactive;196;2352
1548;S-d96652;2024-05-01;;;Enterprise;7;monthly;Active;0;0
1549;S-b10cfa;2024-06-28;Conversion;;Pro;6;monthly;Active;294;3528
1550;S-5a75eb;2024-11-22;Update;Plan Downgrade;Basic;10;monthly;Active;190;2280
1551;S-5ea66d;2024-12-18;Update;Plan Upgrade;Enterprise;4;annual;Active;796;9552
1552;S-88338a;2024-12-19;Update;Seat Upgrade;Enterprise;56;annual;Inactive;11144;133728
1553;S-82ffca;2024-01-30;Create;;Enterprise;19;annual;Inactive;3781;45372
1554;S-67595c;2024-02-08;Update;Plan Downgrade;Basic;27;annual;Inactive;513;6156
1555;S-d97fa8;2024-02-20;Update;Seat Downgrade;Basic;19;monthly;Active;361;4332
1556;S-1df679;2024-04-26;Update;Plan Upgrade;Enterprise;19;annual;Active;3781;45372
1557;S-a2cd6a;2024-12-11;;;Enterprise;19;monthly;Active;0;0
1558;S-8921cb;2024-07-22;Create;;Enterprise;35;monthly;Active;6965;83580
1559;S-14b7f3;2024-08-09;Update;Plan Downgrade;Basic;5;monthly;Active;95;1140
1560;S-7fc49b;2024-08-11;Update;Plan Upgrade;Pro;7;monthly;Active;343;4116
1561;S-80199e;2024-10-26;Update;Plan Upgrade;Enterprise;18;monthly;Active;3582;42984
1562;S-573f93;2024-10-29;Update;Seat Downgrade;Enterprise;2;monthly;Active;398;4776
1563;S-06fb6f;2024-11-05;Update;Plan Upgrade;Pro;30;annual;Active;1470;17640
1564;S-c2701b;2024-12-24;Cancel;;Pro;36;monthly;Inactive;1764;21168
1565;S-b279c9;2024-12-27;Update;Seat Upgrade;Pro;54;annual;Active;2646;31752
1566;S-4b005c;2024-01-05;Create;;Enterprise;45;annual;Active;8955;107460
1567;S-e21910;2024-02-02;Update;Plan Downgrade;Basic;31;monthly;Active;589;7068
1568;S-688851;2024-04-05;Update;Seat Upgrade;Basic;51;annual;Active;969;11628
1569;S-ae6295;2024-05-06;Update;Plan Upgrade;Pro;31;annual;Active;1519;18228
1570;S-ff78bf;2024-05-13;;;Pro;31;monthly;Inactive;0;0
1571;S-0e7e70;2024-05-15;Conversion;;Pro;31;annual;Active;1519;18228
1572;S-0185ce;2024-06-01;;;Pro;31;annual;Inactive;0;0
1573;S-3e510d;2024-06-27;Conversion;;Pro;31;annual;Active;1519;18228
1574;S-01bbfe;2024-07-12;Update;;Pro;31;annual;Active;1519;18228
1575;S-495d33;2024-07-24;Update;Plan Downgrade;Basic;31;monthly;Active;589;7068
1576;S-44a7c3;2024-10-23;Update;Plan Upgrade;Enterprise;31;monthly;Active;6169;74028
1577;S-6bf118;2024-11-06;Update;Plan Downgrade;Basic;117;monthly;Active;2223;26676
1578;S-6b97b7;2024-11-09;Update;Plan Upgrade;Enterprise;31;annual;Active;6169;74028
1579;S-2f2ba3;2024-12-11;Update;;Enterprise;31;monthly;Active;6169;74028
1580;S-f020d4;2024-12-17;Update;;Enterprise;31;annual;Active;6169;74028
1581;S-b29d83;2024-02-10;Create;;Basic;11;annual;Active;209;2508
1582;S-cb7ea9;2024-04-01;Update;Plan Upgrade;Enterprise;7;monthly;Active;1393;16716
1583;S-1fddda;2024-08-05;Update;Seat Upgrade;Enterprise;18;monthly;Inactive;3582;42984
1584;S-783131;2024-10-03;Cancel;;Enterprise;7;annual;Active;1393;16716
1585;S-3d8c2f;2024-10-20;Cancel;;Pro;23;monthly;Active;1127;13524
1586;S-3bd95c;2024-11-12;Update;Plan Upgrade;Enterprise;17;annual;Active;3383;40596
1587;S-9eda4d;2024-12-31;Create;;Enterprise;3;monthly;Active;0;0
1588;S-5685bf;2024-12-31;;;Enterprise;108;annual;Active;0;0
1589;S-dee62f;2024-12-31;Conversion;;Basic;12;monthly;Active;228;2736
1590;S-a33656;2024-12-31;Update;;Basic;12;monthly;Active;228;2736
1591;S-7480e6;2024-12-31;Update;Plan Upgrade;Enterprise;43;annual;Active;8557;102684
1592;S-47b86b;2024-12-31;Update;Plan Downgrade;Pro;11;monthly;Active;539;6468
1593;S-26a630;2024-03-23;Create;;Enterprise;16;monthly;Active;3184;38208
1594;S-5e06b2;2024-04-17;;;Pro;16;monthly;Active;0;0
1595;S-2410c6;2024-05-11;Conversion;;Basic;33;annual;Inactive;627;7524
1596;S-d6d433;2024-06-14;;;Basic;16;annual;Active;0;0
1597;S-4f7b91;2024-06-19;Conversion;;Enterprise;16;annual;Active;3184;38208
1598;S-6bd42d;2024-06-19;Update;Plan Downgrade;Basic;16;monthly;Active;304;3648
1599;S-f973d4;2024-07-27;Update;Plan Upgrade;Pro;24;monthly;Active;1176;14112
1600;S-7252b5;2024-09-25;Update;Seat Downgrade;Pro;16;monthly;Active;784;9408
1601;S-a10469;2024-10-14;Update;;Pro;16;annual;Active;784;9408
1602;S-991f61;2024-10-18;Update;Plan Downgrade;Basic;18;monthly;Active;342;4104
1603;S-d0429b;2024-11-25;Update;Seat Upgrade;Basic;74;annual;Active;1406;16872
1604;S-ee30bb;2024-04-19;Create;;Enterprise;43;monthly;Inactive;8557;102684
1605;S-87db32;2024-04-24;Update;Seat Upgrade;Enterprise;49;monthly;Inactive;9751;117012
1606;S-1a2fbc;2024-06-29;Update;Plan Downgrade;Basic;45;monthly;Active;855;10260
1607;S-f4db1d;2024-07-05;;;Enterprise;43;annual;Active;0;0
1608;S-763384;2024-07-24;;;Pro;43;annual;Active;0;0
1609;S-be53ea;2024-07-28;Conversion;;Pro;43;annual;Active;2107;25284
1610;S-70b537;2024-09-26;Update;Plan Upgrade;Enterprise;43;annual;Inactive;8557;102684
1611;S-dcc084;2024-10-01;Update;Plan Downgrade;Basic;43;monthly;Active;817;9804
1612;S-c2a14b;2024-11-08;Cancel;;Enterprise;43;annual;Inactive;8557;102684
1613;S-5698bd;2023-03-26;Create;;Pro;26;monthly;Inactive;1274;15288
1614;S-f8e69c;2023-10-10;Update;Seat Downgrade;Pro;23;monthly;Active;1127;13524
1615;S-4920e0;2023-12-05;Update;Plan Downgrade;Basic;23;annual;Active;437;5244
1616;S-5e6fc2;2023-12-12;Update;;Basic;23;annual;Active;437;5244
1617;S-55d484;2023-12-15;;;Basic;23;annual;Active;0;0
1618;S-a01486;2023-12-25;Conversion;;Basic;23;annual;Inactive;437;5244
1619;S-39a8f1;2024-03-12;Update;Plan Upgrade;Pro;23;monthly;Inactive;1127;13524
1620;S-e8488d;2024-08-02;Update;Plan Upgrade;Enterprise;26;monthly;Inactive;5174;62088
1621;S-10134d;2024-09-09;Update;Seat Downgrade;Enterprise;23;annual;Active;4577;54924
1622;S-cb2ad3;2024-11-13;Update;Plan Downgrade;Basic;28;annual;Active;532;6384
1623;S-36480d;2024-12-04;Update;Plan Upgrade;Pro;30;annual;Active;1470;17640
1624;S-ed7a72;2024-11-21;Create;;Pro;25;monthly;Active;1225;14700
1625;S-9bf16e;2024-11-23;Cancel;;Pro;9;monthly;Active;441;5292
1626;S-4c2f78;2024-11-24;Update;Seat Upgrade;Pro;51;monthly;Active;2499;29988
1627;S-d97c5f;2024-11-25;Update;Seat Upgrade;Pro;101;monthly;Active;4949;59388
1628;S-ac01fb;2024-11-27;;;Enterprise;14;annual;Active;0;0
1629;S-38b3b4;2024-11-28;Conversion;;Enterprise;26;annual;Active;5174;62088
1630;S-11d922;2024-11-28;Update;Seat Downgrade;Enterprise;15;monthly;Active;2985;35820
1631;S-8ececc;2024-12-15;Update;Plan Downgrade;Pro;9;annual;Active;441;5292
1632;S-5daabf;2024-12-16;Update;Plan Upgrade;Enterprise;9;monthly;Active;1791;21492
1633;S-151b22;2024-12-18;Update;Plan Downgrade;Basic;9;annual;Active;171;2052
1634;S-8deb5f;2024-12-25;Update;Seat Upgrade;Basic;52;annual;Inactive;988;11856
1635;S-e781ba;2024-06-17;Create;;Pro;19;monthly;Inactive;931;11172
1636;S-7f8cd8;2024-09-18;Cancel;;Enterprise;20;monthly;Active;3980;47760
1637;S-2db458;2024-09-21;Update;Plan Downgrade;Basic;22;annual;Active;418;5016
1638;S-3a897f;2024-10-10;Update;Plan Upgrade;Pro;93;annual;Active;4557;54684
1639;S-317bed;2024-10-16;Update;Plan Downgrade;Basic;18;monthly;Inactive;342;4104
1640;S-1c06f3;2024-11-05;Update;Seat Downgrade;Basic;13;annual;Active;247;2964
1641;S-8b3331;2024-11-28;Update;Seat Upgrade;Basic;18;annual;Active;342;4104
1642;S-7ab956;2024-12-03;Update;Seat Downgrade;Basic;13;annual;Active;247;2964
1643;S-7f15a3;2024-12-05;Update;Plan Upgrade;Enterprise;13;annual;Active;2587;31044
1644;S-559e85;2024-12-22;Update;Plan Downgrade;Pro;29;monthly;Active;1421;17052
1645;S-88bc66;2024-05-24;Create;;Pro;43;monthly;Inactive;2107;25284
1646;S-1f2b1a;2024-06-22;Update;Seat Downgrade;Pro;6;monthly;Active;294;3528
1647;S-c5723e;2024-06-27;Update;Plan Downgrade;Basic;11;annual;Active;209;2508
1648;S-c9f8c1;2024-07-23;Update;Plan Upgrade;Enterprise;5;monthly;Active;995;11940
1649;S-7134c2;2024-09-02;Update;Plan Upgrade;Pro;29;annual;Inactive;1421;17052
1650;S-4f2ca8;2024-09-24;Update;Plan Upgrade;Enterprise;64;annual;Active;12736;152832
1651;S-246f9c;2024-10-27;Update;Plan Downgrade;Pro;6;monthly;Active;294;3528
1652;S-1577c3;2024-11-29;;;Basic;3;monthly;Active;0;0
1653;S-4bfab2;2024-12-07;Conversion;;Basic;2;monthly;Active;38;456
1654;S-778c7e;2024-12-19;Update;Plan Upgrade;Enterprise;2;annual;Inactive;398;4776
1655;S-7553fb;2023-11-29;Create;;Enterprise;52;monthly;Inactive;0;0
1656;S-54bb4e;2023-12-16;Conversion;;Basic;55;monthly;Active;1045;12540
1657;S-dbde43;2023-12-17;Update;Plan Upgrade;Pro;27;annual;Active;1323;15876
1658;S-aabbf4;2024-01-06;Update;Seat Upgrade;Pro;52;annual;Active;2548;30576
1659;S-0a7396;2024-02-24;Update;Seat Downgrade;Pro;27;monthly;Active;1323;15876
1660;S-cfedb3;2024-07-16;Update;Plan Downgrade;Basic;27;annual;Active;513;6156
1661;S-76b06c;2024-08-06;Update;Plan Upgrade;Pro;27;monthly;Active;1323;15876
1662;S-1ccdd4;2024-10-21;Update;;Pro;27;monthly;Active;1323;15876
1663;S-5717da;2024-10-24;Update;;Pro;27;monthly;Active;1323;15876
1664;S-cfb886;2024-12-19;Update;;Pro;27;annual;Active;1323;15876
1665;S-6d6ab6;2024-12-21;Update;Plan Downgrade;Basic;27;annual;Active;513;6156
1666;S-e6678a;2023-08-16;Create;;Pro;4;annual;Inactive;196;2352
1667;S-936a83;2023-09-13;;;Enterprise;34;monthly;Active;0;0
1668;S-36d5c9;2023-09-16;Conversion;;Enterprise;11;monthly;Active;2189;26268
1669;S-bbd8b5;2023-11-26;Update;Plan Downgrade;Basic;4;annual;Active;76;912
1670;S-875cf3;2024-04-29;Update;Plan Upgrade;Enterprise;30;monthly;Active;5970;71640
1671;S-a7524a;2024-08-25;Update;Plan Downgrade;Pro;13;monthly;Active;637;7644
1672;S-147ad7;2024-08-29;Update;Plan Downgrade;Basic;4;annual;Active;76;912
1673;S-4da04b;2024-09-16;Update;Plan Upgrade;Pro;7;annual;Active;343;4116
1674;S-0fa88d;2024-09-27;Update;Plan Downgrade;Basic;6;monthly;Active;114;1368
1675;S-7ac30a;2024-10-16;Update;Plan Upgrade;Enterprise;5;annual;Active;995;11940
1676;S-eea643;2024-10-30;Update;Seat Upgrade;Enterprise;28;monthly;Active;5572;66864
1677;S-4781b1;2023-06-12;Create;;Pro;16;monthly;Active;784;9408
1678;S-8bac4e;2023-12-17;Update;Seat Downgrade;Pro;12;monthly;Active;588;7056
1679;S-c8d680;2024-01-16;Cancel;;Enterprise;12;monthly;Active;2388;28656
1680;S-d7ef67;2024-03-07;Update;Plan Downgrade;Basic;12;monthly;Inactive;228;2736
1681;S-9f2386;2024-03-09;Update;Plan Upgrade;Enterprise;15;annual;Active;2985;35820
1682;S-214edb;2024-06-25;Update;Plan Downgrade;Basic;77;monthly;Active;1463;17556
1683;S-ebbda6;2024-10-10;Update;Plan Downgrade;Pro;15;annual;Active;735;8820
1684;S-162e73;2024-01-12;Create;;Enterprise;38;annual;Active;0;0
1685;S-80fa36;2024-01-18;Conversion;;Pro;9;monthly;Inactive;441;5292
1686;S-caec41;2024-01-24;Update;Plan Upgrade;Enterprise;23;annual;Active;4577;54924
1687;S-0a8acf;2024-02-16;Update;Plan Downgrade;Pro;13;monthly;Active;637;7644
1688;S-da8d5f;2024-03-06;Update;Seat Upgrade;Pro;14;monthly;Active;686;8232
1689;S-c3bf1d;2024-03-15;Update;Seat Downgrade;Pro;9;annual;Active;441;5292
1690;S-f0a2e5;2024-06-05;;;Basic;23;annual;Active;0;0
1691;S-89c6dc;2024-06-29;Conversion;;Pro;24;annual;Active;1176;14112
1692;S-6ca5ab;2024-07-31;;;Basic;14;annual;Active;0;0
1693;S-19edee;2024-08-19;Conversion;;Enterprise;21;monthly;Inactive;4179;50148
1694;S-0cb4fe;2024-05-31;Create;;Enterprise;71;monthly;Active;14129;169548
1695;S-214d98;2024-06-01;Update;Plan Downgrade;Pro;23;annual;Inactive;1127;13524
1696;S-899319;2024-07-23;Update;Plan Upgrade;Enterprise;57;monthly;Active;11343;136116
1697;S-1bc5a4;2024-07-31;Update;Seat Downgrade;Enterprise;23;monthly;Inactive;4577;54924
1698;S-f76252;2024-10-07;Update;Plan Downgrade;Basic;23;annual;Active;437;5244
1699;S-d3f138;2024-10-21;Cancel;;Enterprise;23;monthly;Inactive;4577;54924
1700;S-5d299e;2024-10-25;Update;;Enterprise;23;monthly;Active;4577;54924
1701;S-6e8126;2024-11-04;Update;Plan Downgrade;Basic;23;annual;Inactive;437;5244
1702;S-6f6fca;2024-11-07;;;Enterprise;50;annual;Active;0;0
1703;S-a603dd;2024-11-12;Conversion;;Basic;23;monthly;Active;437;5244
1704;S-cb54dc;2024-11-17;;;Enterprise;42;annual;Inactive;0;0
1705;S-f3f2bd;2024-12-17;;;Basic;29;annual;Active;0;0
1706;S-faee8b;2024-05-15;Create;;Pro;163;monthly;Inactive;0;0
1707;S-c8fa77;2024-08-28;Conversion;;Basic;163;monthly;Active;3097;37164
1708;S-4970c1;2024-09-03;Update;;Basic;163;annual;Active;3097;37164
1709;S-c7190f;2024-09-08;Update;Plan Upgrade;Pro;163;monthly;Active;7987;95844
1710;S-86e45a;2024-09-23;Update;;Pro;163;annual;Active;7987;95844
1711;S-95a570;2024-11-20;;;Pro;163;monthly;Active;0;0
1712;S-e98121;2024-12-15;Conversion;;Enterprise;163;monthly;Active;32437;389244
1713;S-ae4310;2024-12-22;Create;;Pro;20;monthly;Active;0;0
1714;S-3dc46b;2024-12-23;Conversion;;Pro;12;monthly;Inactive;588;7056
1715;S-8f181e;2024-12-24;Update;Plan Upgrade;Enterprise;18;annual;Active;3582;42984
1716;S-a7da97;2024-12-25;Update;Seat Upgrade;Enterprise;63;annual;Inactive;12537;150444
1717;S-eabe72;2024-12-26;Update;Plan Downgrade;Basic;33;monthly;Inactive;627;7524
1718;S-826d19;2024-12-26;Cancel;;Enterprise;8;annual;Active;1592;19104
1719;S-86e226;2024-06-17;Create;;Pro;25;monthly;Inactive;0;0
1720;S-f5df4a;2024-06-26;Conversion;;Pro;6;annual;Inactive;294;3528
1721;S-6aa72f;2024-07-05;;;Enterprise;3;annual;Inactive;0;0
1722;S-69a7ce;2024-07-14;Conversion;;Pro;6;annual;Active;294;3528
1723;S-3503b4;2024-07-18;Update;Plan Upgrade;Enterprise;2;monthly;Active;398;4776
1724;S-dbb8b9;2024-08-09;Update;Plan Downgrade;Pro;2;monthly;Inactive;98;1176
1725;S-310ae0;2024-09-13;Cancel;;Enterprise;2;monthly;Active;398;4776
1726;S-f44c76;2024-09-24;Update;Plan Upgrade;Pro;14;monthly;Active;686;8232
1727;S-46852c;2024-09-26;Update;Plan Upgrade;Enterprise;76;monthly;Active;15124;181488
1728;S-58ab69;2024-09-27;Update;Plan Downgrade;Pro;63;monthly;Active;3087;37044
1729;S-a09e70;2024-10-13;Update;Plan Downgrade;Basic;22;annual;Active;418;5016
1730;S-dbad62;2024-10-16;Update;Seat Downgrade;Basic;12;annual;Inactive;228;2736
1731;S-150c8e;2024-11-03;Update;Plan Upgrade;Pro;33;monthly;Active;1617;19404
1732;S-150930;2024-09-26;Create;;Enterprise;42;monthly;Inactive;8358;100296
1733;S-5a500d;2024-09-26;;;Basic;30;annual;Active;0;0
1734;S-404ecd;2024-09-27;Conversion;;Enterprise;18;monthly;Active;3582;42984
1735;S-16a545;2024-09-30;Update;Plan Downgrade;Basic;35;annual;Active;665;7980
1736;S-86615c;2024-10-03;Update;Plan Upgrade;Enterprise;26;monthly;Active;5174;62088
1737;S-73d0eb;2024-10-09;Update;Plan Downgrade;Basic;60;monthly;Active;1140;13680
1738;S-810a67;2024-10-15;Update;Plan Downgrade;Pro;18;monthly;Active;882;10584
1739;S-24cdb5;2024-10-21;Update;Plan Downgrade;Basic;35;annual;Active;665;7980
1740;S-751802;2024-11-03;Update;Seat Downgrade;Basic;18;monthly;Active;342;4104
1741;S-65dd83;2024-11-07;Update;Plan Upgrade;Pro;36;annual;Active;1764;21168
1742;S-529f0c;2024-11-28;;;Pro;18;monthly;Active;0;0
1743;S-17cfc4;2024-12-01;;;Pro;18;monthly;Active;0;0
1744;S-f86bcf;2024-12-02;Conversion;;Pro;44;annual;Inactive;2156;25872
1745;S-a4d69d;2024-12-11;Update;Plan Downgrade;Basic;18;monthly;Active;342;4104
1746;S-8b1b5a;2024-12-17;Update;Plan Upgrade;Pro;18;annual;Active;882;10584
1747;S-d97185;2024-12-22;Update;Seat Upgrade;Pro;37;annual;Active;1813;21756
1748;S-763b53;2024-12-22;Update;Plan Downgrade;Basic;18;annual;Inactive;342;4104
1749;S-edd29b;2024-12-24;Update;Plan Upgrade;Enterprise;18;annual;Active;3582;42984
1750;S-0c63de;2024-12-31;Update;Plan Downgrade;Pro;18;annual;Inactive;882;10584
1751;S-edeacd;2024-01-01;Create;;Pro;18;annual;Active;882;10584
1752;S-85eb8f;2024-01-29;Update;Plan Upgrade;Enterprise;22;monthly;Active;4378;52536
1753;S-10702d;2024-03-14;;;Basic;3;monthly;Active;0;0
1754;S-b6a35b;2024-05-08;Conversion;;Pro;19;monthly;Active;931;11172
1755;S-b784a1;2024-05-29;Update;Seat Downgrade;Pro;6;monthly;Active;294;3528
1756;S-8b486a;2024-06-12;;;Pro;77;annual;Inactive;0;0
